@relation train
@attribute Attr1 numeric
@attribute Attr2 {'a','b'}
@attribute Attr3 {'a','b','c'}
@attribute Attr4 {'N','W'}
@attribute Attr5 numeric
@attribute Attr6 numeric
@attribute Attr7 numeric
@attribute Attr8 numeric
@attribute Attr9 {'a','b','c'}
@attribute Attr10 numeric
@attribute Attr11 numeric
@attribute Attr12 numeric
@attribute Attr13 numeric
@attribute Attr14 numeric
@attribute Attr15 numeric
@attribute Attr16 numeric
@attribute Attr17 numeric
@attribute Attr18 numeric
@attribute Attr19 numeric
@attribute class numeric
@data
76,'a','a','W',33560,590,194,111,'a',0,0,0,0,0,0,0,0,0,0,0
77,'a','a','N',6760,24,-37,-40,'a',0,0,0,0,0,0,0,0,0,0,0
78,'a','a','N',384230,751,4,6,'a',3,1,2,0,0,0,0,0,9700,6000,1
79,'b','b','W',18580,121,-31,-59,'a',2,2,0,0,0,0,0,0,1200,800,0
80,'a','b','W',35910,636,8,19,'a',0,0,0,0,0,0,0,0,0,0,0
81,'b','a','W',76200,766,166,71,'a',0,0,0,0,0,0,0,0,0,0,0
82,'a','b','N',5000,163,-50,-29,'a',0,0,0,0,0,0,0,0,0,0,0
83,'b','a','W',581540,2102,7,-23,'a',2,1,1,0,0,0,0,0,6500,6000,1
84,'a','b','W',15030,484,-5,22,'a',0,0,0,0,0,0,0,0,0,0,0
85,'a','a','W',33310,274,-30,-27,'a',6,3,3,0,0,0,0,0,6800,3000,0
86,'b','a','W',60730,797,110,1,'a',2,1,1,0,0,0,0,0,3600,3000,0
87,'a','b','N',5250,66,-49,36,'a',0,0,0,0,0,0,0,0,0,0,0
88,'a','b','W',61110,439,86,62,'a',4,4,0,0,0,0,0,0,1600,600,0
89,'b','b','W',108260,891,-12,-7,'a',5,3,2,0,0,0,0,0,6000,3000,0
90,'b','b','W',57440,879,4,12,'a',0,0,0,0,0,0,0,0,0,0,0
91,'b','a','W',26190,246,-29,-33,'a',3,2,0,1,0,0,0,0,20500,20000,0
92,'b','a','W',43860,947,52,20,'a',0,0,0,0,0,0,0,0,0,0,0
93,'a','a','W',268170,1352,-41,-35,'a',1,1,0,0,0,0,0,0,400,400,1
94,'a','b','W',820600,3506,92,97,'a',2,1,1,0,0,0,0,0,8700,8000,1
95,'a','a','W',509190,1758,-45,-15,'a',2,1,1,0,0,0,0,0,2300,2000,1
96,'a','a','W',8820,243,50,-5,'a',0,0,0,0,0,0,0,0,0,0,0
97,'a','a','W',29990,203,-55,-75,'a',3,1,2,0,0,0,0,0,9400,6000,0
98,'a','a','W',202640,588,-33,-41,'a',2,1,1,0,0,0,0,0,4300,?,0
99,'a','a','W',18210,150,-54,-51,'a',3,1,2,0,0,0,0,0,7700,5000,0
100,'b','b','N',44240,678,327,79,'b',0,0,0,0,0,0,0,0,0,0,0
101,'a','a','W',194580,697,-35,-32,'a',0,0,0,0,0,0,0,0,0,0,0
102,'a','b','W',14830,492,-21,-2,'a',0,0,0,0,0,0,0,0,0,0,0
103,'b','b','W',306400,2522,112,98,'b',3,?,0,1,0,0,0,0,31000,30000,1
104,'a','b','W',48250,573,9,44,'a',3,1,2,0,0,0,0,0,12600,8000,0
105,'b','a','N',72370,581,-79,-70,'a',0,0,0,0,0,0,0,0,0,0,0
106,'a','b','N',1020,10,-81,-82,'a',0,0,0,0,0,0,0,0,0,0,0
107,'b','a','W',110510,708,-58,-58,'a',4,2,1,1,0,0,0,0,44200,40000,0
108,'b','a','W',292040,1233,-33,-29,'a',0,0,0,0,0,0,0,0,0,0,0
109,'a','a','N',4190,25,22,-38,'a',0,0,0,0,0,0,0,0,0,0,0
110,'a','a','N',25580,120,-54,-53,'a',1,0,1,0,0,0,0,0,6000,6000,0
111,'a','a','N',5180,167,-43,-10,'a',0,0,0,0,0,0,0,0,0,0,0
112,'a','b','N',154420,319,-46,-43,'a',1,0,1,0,0,0,0,0,3000,3000,0
113,'b','a','N',22710,385,82,54,'a',0,0,0,0,0,0,0,0,0,0,0
114,'b','a','W',415690,1486,-37,-26,'a',1,0,1,0,0,0,0,0,7000,7000,1
115,'a','a','N',1650,21,-79,-69,'a',0,0,0,0,0,0,0,0,0,0,0
116,'b','a','W',23710,481,-25,-42,'a',0,0,0,0,0,0,0,0,0,0,0
117,'b','a','W',16450,378,-48,-16,'a',0,0,0,0,0,0,0,0,0,0,0
118,'a','b','W',148160,1282,1,0,'a',2,2,0,0,0,0,0,0,1300,900,0
119,'b','a','W',380320,1545,-40,-24,'a',4,1,2,1,0,0,0,0,30900,20000,1
120,'b','a','W',21000,466,-10,-1,'a',0,0,0,0,0,0,0,0,0,0,0
121,'a','b','W',25490,546,-18,2,'a',0,0,0,0,0,0,0,0,0,0,0
122,'b','a','W',29480,510,-7,-39,'a',0,0,0,0,0,0,0,0,0,0,0
123,'a','a','W',9890,89,-63,-79,'a',1,0,0,1,0,0,0,0,20000,20000,0
124,'a','a','W',15290,315,-13,-1,'a',1,1,0,0,0,0,0,0,400,400,0
125,'a','b','W',18830,201,-23,-52,'a',0,0,0,0,0,0,0,0,0,0,0
126,'b','b','W',92760,967,-42,-31,'b',5,3,1,1,0,0,0,0,65800,60000,0
127,'b','a','N',8170,119,-20,-37,'a',1,0,1,0,0,0,0,0,2000,2000,0
128,'b','a','W',52360,1004,150,61,'a',0,0,0,0,0,0,0,0,0,0,0
129,'b','a','W',35130,859,65,38,'a',0,0,0,0,0,0,0,0,0,0,0
130,'a','a','W',35800,341,16,38,'a',0,0,0,0,0,0,0,0,0,0,0
131,'b','a','W',18310,317,-45,-27,'a',0,0,0,0,0,0,0,0,0,0,0
132,'b','b','W',45680,1276,84,92,'a',1,1,0,0,0,0,0,0,500,500,0
133,'a','a','N',72780,269,-48,-52,'a',1,0,1,0,0,0,0,0,3000,3000,0
134,'a','a','N',2150,13,-18,-68,'a',0,0,0,0,0,0,0,0,0,0,0
135,'b','a','W',19990,669,-64,-18,'a',0,0,0,0,0,0,0,0,0,0,0
136,'a','b','W',27590,314,6,-35,'a',0,0,0,0,0,0,0,0,0,0,0
137,'b','b','W',40670,608,-19,-17,'a',1,1,0,0,0,0,0,0,200,200,0
138,'a','b','W',5680,210,-66,-20,'a',0,0,0,0,0,0,0,0,0,0,0
139,'b','b','W',50130,1613,125,172,'a',2,2,0,0,0,0,0,0,1100,600,0
140,'a','a','W',34900,946,6,76,'a',1,0,1,0,0,0,0,0,4000,4000,0
141,'b','a','W',12840,350,157,40,'a',0,0,0,0,0,0,0,0,0,0,0
142,'a','b','N',20040,402,60,61,'a',0,0,0,0,0,0,0,0,0,0,0
143,'b','a','N',11190,245,10,31,'a',0,0,0,0,0,0,0,0,0,0,0
144,'a','b','N',7860,165,-21,-28,'a',0,0,0,0,0,0,0,0,0,0,0
145,'a','a','W',82480,172,-34,-21,'a',1,0,1,0,0,0,0,0,1000,1000,0
146,'b','b','W',45520,1214,177,164,'b',0,0,0,0,0,0,0,0,0,0,0
147,'b','b','W',48020,688,61,33,'a',0,0,0,0,0,0,0,0,0,0,0
148,'b','b','W',17970,518,1,13,'a',0,0,0,0,0,0,0,0,0,0,0
149,'a','b','W',32050,645,7,56,'a',1,1,0,0,0,0,0,0,300,300,0
150,'a','b','W',23560,546,26,9,'a',0,0,0,0,0,0,0,0,0,0,0
151,'a','a','N',3090,18,5,-55,'a',0,0,0,0,0,0,0,0,0,0,0
152,'a','b','W',81410,441,-19,-56,'a',3,2,1,0,0,0,0,0,10200,9000,1
153,'a','a','W',782750,1593,9,-17,'a',2,0,2,0,0,0,0,0,6000,3000,0
154,'b','a','W',20330,413,-42,-25,'a',0,0,0,0,0,0,0,0,0,0,0
155,'b','a','W',32310,194,-56,-49,'a',4,1,2,1,0,0,0,0,28400,20000,0
156,'a','b','N',13200,505,6,102,'a',1,0,1,0,0,0,0,0,9000,9000,0
157,'a','b','W',48240,565,187,116,'a',0,0,0,0,0,0,0,0,0,0,0
158,'a','b','N',6260,114,-49,-53,'a',0,0,0,0,0,0,0,0,0,0,0
159,'b','b','N',14770,48,-60,-41,'b',0,0,0,0,0,0,0,0,0,0,0
160,'a','b','W',26960,514,85,41,'b',0,0,0,0,0,0,0,0,0,0,0
161,'a','a','N',2780,19,8,-52,'a',0,?,0,0,0,0,0,0,0,0,0
162,'b','b','W',13200,199,-18,-15,'a',0,0,0,0,0,0,0,0,0,0,0
163,'a','a','N',1970,17,-14,-58,'a',0,0,0,0,0,0,0,0,0,0,0
164,'a','a','W',13690,147,-66,-67,'a',2,1,1,0,0,0,0,0,3300,3000,0
165,'b','b','W',924910,1869,-14,-19,'a',0,0,0,0,0,0,0,0,0,0,0
166,'b','b','W',48130,1330,163,163,'b',0,0,0,0,0,0,0,0,0,0,0
167,'a','a','N',2700,14,-3,-65,'a',0,0,0,0,0,0,0,0,0,0,0
168,'a','a','W',17570,471,0,48,'a',1,1,0,0,0,0,0,0,700,700,0
169,'a','a','N',2440,104,-71,-61,'a',0,0,0,0,0,0,0,0,0,0,0
170,'a','b','W',37820,347,16,24,'a',3,2,1,0,0,0,0,0,4000,3000,0
171,'a','b','W',55310,644,107,-1,'a',3,2,1,0,0,0,0,0,4900,4000,0
172,'a','b','W',12150,361,-36,-29,'a',0,0,0,0,0,0,0,0,0,0,0
173,'a','b','W',21350,376,-38,-31,'a',0,0,0,0,0,0,0,0,0,0,0
174,'a','a','N',2760,24,2,-40,'a',0,0,0,0,0,0,0,0,0,0,0
175,'a','b','N',68200,137,-5,-38,'a',0,0,0,0,0,0,0,0,0,0,0
176,'b','b','N',10030,244,-20,-2,'a',0,0,0,0,0,0,0,0,0,0,0
177,'a','a','N',3030,29,15,-28,'a',0,0,0,0,0,0,0,0,0,0,0
178,'a','b','W',21000,483,40,28,'b',1,1,0,0,0,0,0,0,200,200,0
179,'a','b','W',836500,2313,55,19,'a',4,0,4,0,0,0,0,0,19000,9000,1
180,'a','a','N',8760,133,-59,-33,'a',1,1,0,0,0,0,0,0,600,600,0
181,'a','b','N',14390,329,34,36,'a',0,0,0,0,0,0,0,0,0,0,0
182,'b','b','W',15560,264,-46,-40,'a',0,0,0,0,0,0,0,0,0,0,0
183,'a','b','W',6340,102,-62,-60,'a',0,0,0,0,0,0,0,0,0,0,0
184,'a','a','W',912890,2001,25,37,'a',0,0,0,0,0,0,0,0,0,0,0
185,'b','b','W',38240,410,47,-15,'a',1,1,0,0,0,0,0,0,100,100,0
186,'a','b','N',45150,140,24,-4,'a',0,0,0,0,0,0,0,0,0,0,0
187,'b','b','W',20890,386,-25,-18,'a',0,0,0,0,0,0,0,0,0,0,0
188,'b','a','W',62880,826,338,99,'b',1,1,0,0,0,0,0,0,700,700,0
189,'a','a','W',29240,217,-71,-85,'a',2,0,2,0,0,0,0,0,8000,5000,0
190,'b','a','N',8980,189,-14,-50,'a',0,0,0,0,0,0,0,0,0,0,0
191,'b','b','W',60140,800,267,181,'a',2,0,2,0,0,0,0,0,3000,2000,0
192,'a','a','W',7000,131,-40,-56,'a',1,0,1,0,0,0,0,0,1000,1000,0
193,'b','a','W',459160,1714,-21,-11,'a',1,0,0,1,0,0,0,0,40000,40000,0
194,'a','a','N',6160,258,-46,6,'a',0,0,0,0,0,0,0,0,0,0,0
195,'a','a','W',17280,394,32,53,'a',1,1,0,0,0,0,0,0,100,100,0
196,'b','a','W',60930,866,101,72,'a',1,0,0,1,0,0,0,0,10000,10000,0
197,'b','b','W',47200,562,91,24,'b',0,0,0,0,0,0,0,0,0,0,0
198,'b','a','N',20040,777,99,123,'a',0,0,0,0,0,0,0,0,0,0,0
199,'b','a','W',43350,611,37,40,'a',0,0,0,0,0,0,0,0,0,0,0
200,'b','b','W',23790,589,56,34,'b',0,0,0,0,0,0,0,0,0,0,0
201,'b','b','N',16500,321,115,96,'b',0,0,0,0,0,0,0,0,0,0,0
202,'a','a','N',1400,58,-62,-47,'a',0,0,0,0,0,0,0,0,0,0,0
203,'a','a','W',19570,153,-36,-21,'a',1,1,0,0,0,0,0,0,700,700,0
204,'b','b','W',24370,428,-16,-3,'a',1,0,1,0,0,0,0,0,2000,2000,0
205,'a','a','N',6170,187,-33,-16,'a',0,0,0,0,0,0,0,0,0,0,0
206,'b','a','N',11080,343,33,104,'a',0,0,0,0,0,0,0,0,0,0,0
207,'a','a','N',4610,78,-68,-55,'a',0,0,0,0,0,0,0,0,0,0,0
208,'a','b','N',11500,30,-3,-25,'a',0,0,0,0,0,0,0,0,0,0,0
209,'a','a','W',53170,461,9,23,'a',5,2,3,0,0,0,0,0,4800,2000,0
210,'b','a','W',23860,389,-24,-13,'a',1,0,0,1,0,0,0,0,40000,40000,0
211,'a','a','W',10590,256,-19,-2,'a',0,0,0,0,0,0,0,0,0,0,0
212,'a','b','W',132520,1174,-31,-39,'a',1,1,0,0,0,0,0,0,200,200,0
213,'b','a','N',3250,68,-67,-54,'a',1,0,0,1,0,0,0,0,30000,30000,1
214,'b','a','N',35440,930,304,384,'b',0,0,0,0,0,0,0,0,0,0,0
215,'a','b','W',15740,278,8,-24,'b',1,0,1,0,0,0,0,0,3000,3000,0
216,'a','c','W',67230,1155,57,75,'b',2,1,1,0,0,0,0,0,3500,3000,1
217,'b','a','W',12160,364,-15,-12,'a',0,0,0,0,0,0,0,0,0,0,0
218,'b','b','W',47670,507,40,-11,'a',0,0,0,0,0,0,0,0,0,0,0
219,'a','a','W',31390,362,39,-26,'a',0,0,0,0,0,0,0,0,0,0,0
220,'b','b','W',24500,488,-9,7,'a',0,0,0,0,0,0,0,0,0,0,0
221,'a','a','N',4240,25,19,-38,'a',0,0,0,0,0,0,0,0,0,0,0
222,'a','a','W',227990,734,-52,-59,'a',2,1,1,0,0,0,0,0,4300,4000,0
223,'b','b','W',51910,495,57,73,'b',0,0,0,0,0,0,0,0,0,0,0
224,'a','a','W',31040,322,-10,1,'a',5,2,3,0,0,0,0,0,9000,4000,0
225,'a','a','W',434360,1584,-38,-60,'a',2,0,2,0,0,0,0,0,9000,6000,1
226,'a','b','N',8550,205,-15,-11,'a',0,0,0,0,0,0,0,0,0,0,0
227,'a','a','W',90240,1080,177,77,'a',0,0,0,0,0,0,0,0,0,0,0
228,'a','a','N',3860,77,-38,12,'a',0,0,0,0,0,0,0,0,0,0,0
229,'b','b','N',11660,330,26,49,'a',0,0,0,0,0,0,0,0,0,0,0
230,'a','a','W',28000,572,115,119,'a',0,0,0,0,0,0,0,0,0,0,1
231,'a','b','W',66520,685,118,7,'a',0,0,0,0,0,0,0,0,0,0,0
232,'a','b','W',39970,831,196,147,'b',0,0,0,0,0,0,0,0,0,0,0
233,'a','b','W',1514120,1518,28,12,'a',3,2,1,0,0,0,0,0,1900,1000,1
234,'a','a','W',41970,592,220,130,'a',0,0,0,0,0,0,0,0,0,0,0
235,'a','b','W',19340,218,18,-19,'a',1,0,1,0,0,0,0,0,3000,3000,0
236,'a','b','N',3020,29,-53,-40,'a',0,0,0,0,0,0,0,0,0,0,0
237,'a','a','N',10140,176,12,-5,'a',0,0,0,0,0,0,0,0,0,0,0
238,'b','a','W',118110,1660,-34,-15,'a',1,0,1,0,0,0,0,0,2000,2000,1
239,'a','b','W',18970,301,-27,-38,'a',1,0,1,0,0,0,0,0,1000,1000,0
240,'b','a','W',28500,446,-1,-1,'a',0,0,0,0,0,0,0,0,0,0,0
241,'a','a','N',2870,22,-40,-45,'a',0,0,0,0,0,0,0,0,0,0,0
242,'b','a','W',74940,360,31,15,'a',2,2,0,0,0,0,0,0,500,400,0
243,'a','b','W',27890,276,-72,-72,'a',6,3,3,0,0,0,0,0,9800,6000,0
244,'a','a','W',93020,2422,158,140,'a',1,1,0,0,0,0,0,0,600,600,0
245,'a','b','N',39280,726,214,190,'a',0,0,0,0,0,0,0,0,0,0,0
246,'a','a','W',27450,512,16,0,'a',1,1,0,0,0,0,0,0,300,300,0
247,'a','a','N',3160,73,-75,-70,'a',0,0,0,0,0,0,0,0,0,0,0
248,'a','b','W',11090,639,54,249,'a',0,0,0,0,0,0,0,0,0,0,0
249,'b','a','W',16820,244,-32,-39,'a',0,0,0,0,0,0,0,0,0,0,0
250,'b','b','N',4690,126,-55,-65,'b',0,0,0,0,0,0,0,0,0,0,0
251,'a','a','W',15820,382,-32,0,'a',0,0,0,0,0,0,0,0,0,0,0
252,'b','b','N',10690,367,182,227,'a',0,0,0,0,0,0,0,0,0,0,0
253,'b','a','W',26670,444,-17,39,'a',0,0,0,0,0,0,0,0,0,0,0
254,'b','a','W',58160,897,-4,3,'a',3,2,1,0,0,0,0,0,1900,1000,0
255,'a','a','N',64930,273,-35,-33,'a',1,0,1,0,0,0,0,0,5000,5000,0
256,'a','b','W',14770,241,-19,-24,'a',0,0,0,0,0,0,0,0,0,0,0
257,'b','b','W',13600,215,-60,-29,'b',2,1,1,0,0,0,0,0,3600,3000,0
258,'a','a','N',48990,194,-27,-3,'a',1,0,1,0,0,0,0,0,4000,4000,0
259,'a','b','W',22640,691,32,60,'a',2,2,0,0,0,0,0,0,400,300,0
260,'b','a','N',23670,721,153,140,'a',1,1,0,0,0,0,0,0,300,300,0
261,'b','a','W',27320,453,17,-4,'a',0,0,0,0,0,0,0,0,0,0,1
262,'a','a','N',40210,193,-71,-59,'a',1,0,1,0,0,0,0,0,5000,5000,0
263,'b','b','N',11040,316,191,181,'a',0,0,0,0,0,0,0,0,0,0,0
264,'a','a','W',48530,485,90,87,'a',2,1,1,0,0,0,0,0,1300,1000,0
265,'a','b','W',29160,435,-2,-1,'a',0,0,0,0,0,0,0,0,0,0,0
266,'a','a','W',1449990,1581,51,12,'a',0,0,0,0,0,0,0,0,0,0,0
267,'b','a','W',26940,429,-18,-17,'a',0,0,0,0,0,0,0,0,0,0,0
268,'a','a','W',23960,539,54,91,'a',0,0,0,0,0,0,0,0,0,0,0
269,'a','b','W',140090,380,-40,-46,'a',0,0,0,0,0,0,0,0,0,0,0
270,'b','a','W',11390,233,-66,-55,'a',0,0,0,0,0,0,0,0,0,0,0
271,'a','b','N',49410,74,-33,-69,'a',2,0,2,0,0,0,0,0,6000,3000,0
272,'a','a','N',7560,513,-25,47,'a',1,1,0,0,0,0,0,0,300,300,0
273,'a','a','W',120690,150,-18,-43,'a',0,0,0,0,0,0,0,0,0,0,0
274,'b','b','N',13010,322,26,-15,'b',0,0,0,0,0,0,0,0,0,0,0
275,'a','a','W',372770,975,37,32,'a',3,3,0,0,0,0,0,0,1400,700,0
276,'a','b','N',4500,207,-58,-14,'a',0,0,0,0,0,0,0,0,0,0,0
277,'a','a','N',28710,454,207,40,'a',1,0,1,0,0,0,0,0,4000,4000,0
278,'a','a','N',7340,213,-19,-28,'a',0,0,0,0,0,0,0,0,0,0,0
279,'b','a','W',23200,264,-28,-18,'a',3,2,0,1,0,0,0,0,40600,40000,0
280,'b','a','W',23170,354,-28,-19,'a',1,1,0,0,0,0,0,0,600,600,0
281,'a','b','N',26720,53,21,21,'b',1,0,1,0,0,0,0,0,1000,1000,0
282,'a','a','N',7530,32,12,-20,'a',0,0,0,0,0,0,0,0,0,0,0
283,'a','a','N',10730,205,-5,-16,'a',0,0,0,0,0,0,0,0,0,0,0
284,'b','b','W',44640,743,58,54,'a',0,0,0,0,0,0,0,0,0,0,0
285,'b','b','W',40770,910,20,-10,'a',0,0,0,0,0,0,0,0,0,0,0
286,'a','b','W',59240,941,5,29,'a',3,1,2,0,0,0,0,0,5200,3000,0
287,'a','a','N',1340,21,-42,-48,'a',0,0,0,0,0,0,0,0,0,0,0
288,'a','a','W',31900,643,-28,-24,'a',2,2,0,0,0,0,0,0,1100,700,0
289,'a','a','N',8390,33,262,-65,'a',0,0,0,0,0,0,0,0,0,0,0
290,'a','a','W',32430,527,1,-18,'a',0,0,0,0,0,0,0,0,0,0,0
291,'b','a','W',22910,629,72,62,'a',0,0,0,0,0,0,0,0,0,0,0
292,'a','a','N',12620,37,16,-8,'a',0,0,0,0,0,0,0,0,0,0,0
293,'b','b','W',69450,1412,137,185,'b',0,0,0,0,0,0,0,0,0,0,0
294,'a','a','N',12200,580,105,310,'b',0,0,0,0,0,0,0,0,0,0,0
295,'b','b','W',19430,453,5,-8,'a',1,1,0,0,0,0,0,0,600,600,0
296,'a','a','W',35570,505,25,9,'a',0,0,0,0,0,0,0,0,0,0,0
297,'a','b','N',16460,586,79,92,'a',0,0,0,0,0,0,0,0,0,0,0
298,'b','a','W',480250,2368,-42,13,'a',2,0,1,1,0,0,0,0,34000,30000,0
299,'a','b','N',16010,446,75,43,'a',0,0,0,0,0,0,0,0,0,0,0
